resp,dt,weight
13,07/01/2015,4.482603216
14,07/01/2015,12.40670895
15,07/01/2015,4.084028245
16,07/01/2015,0.854872665
17,07/01/2015,1.303469662
18,07/01/2015,3.88203006
19,07/01/2015,1.019462777
20,07/01/2015,0.873126991
21,07/01/2015,5.355149132
22,07/01/2015,2.38173156
23,07/01/2015,14.76410972
24,07/01/2015,9.919973194
25,07/01/2015,1.068617411
26,07/01/2015,0.873126991
27,07/01/2015,5.541288107
28,07/01/2015,5.71063928
29,07/01/2015,2.204701554
1,08/01/2015,3.581770736
2,08/01/2015,4.529019694
3,08/01/2015,1.786192117
4,08/01/2015,14.14562655
5,08/01/2015,8.78552033
6,08/01/2015,1.790519821
7,08/01/2015,2.399075435
8,08/01/2015,0.751887565
9,08/01/2015,1.632444014
10,08/01/2015,1.278534751
11,08/01/2015,3.96904241
12,08/01/2015,1.084170205
13,08/01/2015,5.113338383
14,08/01/2015,14.87522207
15,08/01/2015,5.319683852
16,08/01/2015,0.777235959
17,08/01/2015,2.029587335
18,08/01/2015,3.439243991
19,08/01/2015,0.745277958
20,08/01/2015,0.785907143
21,08/01/2015,8.77380875
22,08/01/2015,1.530196664
23,08/01/2015,13.87827492
24,08/01/2015,7.838605942
25,08/01/2015,0.751887565
26,08/01/2015,0.785907143
27,08/01/2015,4.440559287
28,08/01/2015,3.962101244
29,08/01/2015,1.187351725
1,09/01/2015,7.088715509
2,09/01/2015,3.47444634
3,09/01/2015,0.953796691
4,09/01/2015,8.340537099
5,09/01/2015,6.614318019
6,09/01/2015,0.932257366
7,09/01/2015,4.438247328
8,09/01/2015,0.748668178
9,09/01/2015,0.971253095
10,09/01/2015,1.00310914
11,09/01/2015,3.266009999
12,09/01/2015,0.967231346
13,09/01/2015,6.964238312
14,09/01/2015,12.61977911
15,09/01/2015,4.928908422
16,09/01/2015,0.765830734
17,09/01/2015,1.948918173
18,09/01/2015,3.885544481
19,09/01/2015,0.744743803
20,09/01/2015,0.772280182
21,09/01/2015,8.784051698
22,09/01/2015,2.767746706
23,09/01/2015,14.51292562
24,09/01/2015,7.760414163
25,09/01/2015,0.748668178
26,09/01/2015,0.772280182
27,09/01/2015,3.218799003
28,09/01/2015,4.628367554
29,09/01/2015,1.019725388
1,10/01/2015,3.339105425
2,10/01/2015,4.922234482
3,10/01/2015,1.614525609
4,10/01/2015,10.71942097
5,10/01/2015,6.139018733
6,10/01/2015,1.597721023
7,10/01/2015,3.920478559
8,10/01/2015,1.302962724
9,10/01/2015,0.95900365
10,10/01/2015,1.322011039
11,10/01/2015,3.45557108
12,10/01/2015,0.892269024
13,10/01/2015,4.40333632
14,10/01/2015,11.18393909
15,10/01/2015,4.100467128
16,10/01/2015,1.098380321
17,10/01/2015,1.313829043
18,10/01/2015,3.820540517
19,10/01/2015,1.193299897
20,10/01/2015,1.199320153
21,10/01/2015,5.250785364
22,10/01/2015,1.830832336
23,10/01/2015,14.97338333
24,10/01/2015,10.0968835
25,10/01/2015,1.302962724
26,10/01/2015,1.199320153
27,10/01/2015,5.491848114
28,10/01/2015,5.869548655
29,10/01/2015,2.132407766
1,11/01/2015,2.874665709
2,11/01/2015,4.149947749
3,11/01/2015,1.741279295
4,11/01/2015,11.01442837
5,11/01/2015,5.539083205
6,11/01/2015,1.700171379
7,11/01/2015,4.051676511
8,11/01/2015,0.849841986
9,11/01/2015,0.897767005
10,11/01/2015,1.346077827
11,11/01/2015,3.22030983
12,11/01/2015,1.261927853
13,11/01/2015,4.311427871
14,11/01/2015,13.10041515
15,11/01/2015,4.4701901
16,11/01/2015,1.234946107
17,11/01/2015,1.5388577
18,11/01/2015,3.411773083
19,11/01/2015,1.144975934
20,11/01/2015,0.916621058
21,11/01/2015,5.529884721
22,11/01/2015,2.736763421
23,11/01/2015,13.31015727
24,11/01/2015,11.08835
25,11/01/2015,0.849841986
26,11/01/2015,0.916621058
27,11/01/2015,5.75461648
28,11/01/2015,5.322768545
29,11/01/2015,1.828291804
1,12/01/2015,3.790700956
2,12/01/2015,4.260948637
3,12/01/2015,1.628015767
4,12/01/2015,11.4888093
5,12/01/2015,7.681111486
6,12/01/2015,1.552042745
7,12/01/2015,3.097506015
8,12/01/2015,0.579818876
9,12/01/2015,2.077682181
10,12/01/2015,1.047327069
11,12/01/2015,2.586941262
12,12/01/2015,1.000614994
13,12/01/2015,5.219258024
14,12/01/2015,14.74133371
15,12/01/2015,4.952077092
16,12/01/2015,0.614316259
17,12/01/2015,2.482807863
18,12/01/2015,4.015508925
19,12/01/2015,0.57744663
20,12/01/2015,0.62401292
21,12/01/2015,8.76686015
22,12/01/2015,1.235353844
23,12/01/2015,13.09474614
24,12/01/2015,7.846593174
25,12/01/2015,0.579818876
26,12/01/2015,0.62401292
27,12/01/2015,4.693104689
28,12/01/2015,4.804506996
29,12/01/2015,1.52864843
1,13/01/2015,2.362699439
2,13/01/2015,4.383855059
3,13/01/2015,3.140949752
4,13/01/2015,10.00479802
5,13/01/2015,6.546788626
6,13/01/2015,3.458780758
7,13/01/2015,4.026578629
8,13/01/2015,0.606420798
9,13/01/2015,1.520841566
10,13/01/2015,0.92555596
11,13/01/2015,3.070313573
12,13/01/2015,2.51542304
13,13/01/2015,3.442097918
14,13/01/2015,12.62601758
15,13/01/2015,3.904277701
16,13/01/2015,0.699032067
17,13/01/2015,0.802508676
18,13/01/2015,5.501453076
19,13/01/2015,0.604355827
20,13/01/2015,0.706663779
21,13/01/2015,5.301403211
22,13/01/2015,1.936943443
23,13/01/2015,15.29084039
24,13/01/2015,14.24344996
25,13/01/2015,0.606420798
26,13/01/2015,0.706663779
27,13/01/2015,5.140381512
28,13/01/2015,6.751865822
29,13/01/2015,1.453169731
1,14/01/2015,2.481043651
2,14/01/2015,4.446457677
3,14/01/2015,3.1721332
4,14/01/2015,11.87754115
5,14/01/2015,6.445884607
6,14/01/2015,3.517527189
7,14/01/2015,3.99240279
8,14/01/2015,0.607167744
9,14/01/2015,1.521140545
10,14/01/2015,0.936111718
11,14/01/2015,2.997160797
12,14/01/2015,2.594051147
13,14/01/2015,3.63405243
14,14/01/2015,12.25888111
15,14/01/2015,3.844967424
16,14/01/2015,0.716381225
17,14/01/2015,0.803329436
18,14/01/2015,5.08859979
19,14/01/2015,0.604967536
20,14/01/2015,0.75553931
21,14/01/2015,5.470175227
22,14/01/2015,1.861196882
24,14/01/2015,13.6869813
25,14/01/2015,0.607167744
26,14/01/2015,0.75553931
27,14/01/2015,5.26816723
28,14/01/2015,6.693052205
29,14/01/2015,1.536689873
23,14/01/2015,15.29084039
1,15/01/2015,3.337650915
2,15/01/2015,4.628829387
3,15/01/2015,1.892743146
4,15/01/2015,10.24095806
5,15/01/2015,5.693360751
6,15/01/2015,1.885329361
7,15/01/2015,4.073632746
8,15/01/2015,0.741087671
9,15/01/2015,1.246348426
10,15/01/2015,1.127152339
11,15/01/2015,3.526952732
12,15/01/2015,1.120147063
13,15/01/2015,4.676480621
14,15/01/2015,13.18837991
15,15/01/2015,3.911813406
16,15/01/2015,1.090938181
17,15/01/2015,1.294248502
18,15/01/2015,3.046426741
19,15/01/2015,0.793804964
20,15/01/2015,0.730521367
21,15/01/2015,5.989911571
22,15/01/2015,2.580886678
24,15/01/2015,9.811704497
25,15/01/2015,0.741087671
26,15/01/2015,0.730521367
27,15/01/2015,5.751970746
28,15/01/2015,5.928877066
29,15/01/2015,2.38810865
23,15/01/2015,15.29084039
1,16/01/2015,3.3824275
2,16/01/2015,4.571347336
3,16/01/2015,1.734420645
4,16/01/2015,11.03618573
5,16/01/2015,5.594204014
6,16/01/2015,1.806619007
7,16/01/2015,4.09872536
8,16/01/2015,0.788510371
9,16/01/2015,1.337581267
10,16/01/2015,1.08428289
11,16/01/2015,3.331379185
12,16/01/2015,1.068138884
13,16/01/2015,4.777076949
14,16/01/2015,11.61792811
15,16/01/2015,3.910819439
16,16/01/2015,1.042649576
17,16/01/2015,1.459374768
18,16/01/2015,3.238645239
19,16/01/2015,0.774172869
20,16/01/2015,0.696471952
21,16/01/2015,6.126851728
22,16/01/2015,2.427601166
24,16/01/2015,9.668656268
25,16/01/2015,0.788510371
26,16/01/2015,0.696471952
27,16/01/2015,5.845966425
28,16/01/2015,5.86299271
29,16/01/2015,2.478215191
23,16/01/2015,15.29084039
1,17/01/2015,3.452590995
2,17/01/2015,4.809624355
3,17/01/2015,1.577991299
4,17/01/2015,9.867094311
5,17/01/2015,5.803633681
6,17/01/2015,1.719594351
7,17/01/2015,4.136717499
8,17/01/2015,1.138530514
9,17/01/2015,1.228724183
10,17/01/2015,1.096211071
11,17/01/2015,3.110988805
12,17/01/2015,0.954144049
13,17/01/2015,4.630967831
14,17/01/2015,10.41689853
15,17/01/2015,3.903177969
16,17/01/2015,0.980913611
17,17/01/2015,1.526093532
18,17/01/2015,3.277583144
19,17/01/2015,1.02160634
20,17/01/2015,1.093180449
21,17/01/2015,5.92240507
22,17/01/2015,2.098965147
24,17/01/2015,9.393240836
25,17/01/2015,1.138530514
26,17/01/2015,1.093180449
27,17/01/2015,5.588054055
28,17/01/2015,6.15088351
29,17/01/2015,2.460939882
23,17/01/2015,15.29084039
1,18/01/2015,3.519305573
2,18/01/2015,3.36261445
3,18/01/2015,1.266320897
4,18/01/2015,10.23018695
5,18/01/2015,4.704175076
6,18/01/2015,1.448694045
7,18/01/2015,3.619886291
8,18/01/2015,1.165922591
9,18/01/2015,1.296325212
10,18/01/2015,2.297126258
11,18/01/2015,1.085801082
12,18/01/2015,0.691096606
13,18/01/2015,2.804538399
14,18/01/2015,10.74036505
15,18/01/2015,4.981701013
16,18/01/2015,0.846604064
17,18/01/2015,1.539316941
18,18/01/2015,2.666496901
19,18/01/2015,1.097640396
20,18/01/2015,0.923194537
21,18/01/2015,5.53719869
22,18/01/2015,2.127388565
24,18/01/2015,8.586919991
25,18/01/2015,1.165922591
26,18/01/2015,0.923194537
27,18/01/2015,6.363304717
28,18/01/2015,6.186493204
29,18/01/2015,2.981740138
23,18/01/2015,15.29084039
1,19/01/2015,5.449346822
2,19/01/2015,6.774013761
3,19/01/2015,1.176743221
4,19/01/2015,18.24040808
5,19/01/2015,0.693712558
6,19/01/2015,1.041424823
7,19/01/2015,4.439176934
8,19/01/2015,1.564799925
9,19/01/2015,1.336784909
10,19/01/2015,1.22350998
11,19/01/2015,3.407455163
12,19/01/2015,1.200997986
13,19/01/2015,1.377097198
14,19/01/2015,18.22104419
15,19/01/2015,0.664809109
16,19/01/2015,1.023027719
17,19/01/2015,0.91253746
18,19/01/2015,3.184938401
19,19/01/2015,0.934128088
20,19/01/2015,1.48367567
21,19/01/2015,3.695267052
22,19/01/2015,1.595669385
24,19/01/2015,0.672744255
25,19/01/2015,1.564799925
26,19/01/2015,1.48367567
27,19/01/2015,7.86558803
28,19/01/2015,9.254525346
29,19/01/2015,1.76077252
23,19/01/2015,15.29084039
1,20/01/2015,2.650778829
2,20/01/2015,5.86541204
3,20/01/2015,1.787027655
4,20/01/2015,14.27704729
5,20/01/2015,7.623958262
6,20/01/2015,1.589813245
7,20/01/2015,3.501487502
8,20/01/2015,1.185482269
9,20/01/2015,1.171366238
10,20/01/2015,1.023155971
11,20/01/2015,2.10561964
12,20/01/2015,1.480004261
13,20/01/2015,3.457763185
14,20/01/2015,12.81276282
15,20/01/2015,3.563629378
16,20/01/2015,0.984510008
17,20/01/2015,1.882544434
18,20/01/2015,0.576825778
19,20/01/2015,0.882968698
20,20/01/2015,1.321812609
21,20/01/2015,4.747590314
22,20/01/2015,1.927569244
24,20/01/2015,12.39358831
25,20/01/2015,1.185482269
26,20/01/2015,1.321812609
27,20/01/2015,4.494457
28,20/01/2015,8.053348914
29,20/01/2015,1.788392038
23,20/01/2015,15.29084039
1,21/01/2015,3.608496119
2,21/01/2015,4.168790732
